,district,clear_mean,smog_mean
0,ABBOTTABAD,0.23162121212121212,0.30583333333333335
1,SHANGLA,0.09399999999999999,0.09399999999999999
2,ASTORE,,
3,ATTOCK,0.3878484848484849,0.4783333333333333
4,AWARAN,0.2941515151515152,0.31366666666666665
5,BADIN,0.47441666666666665,0.5965833333333334
6,BAGH,0.28355555555555556,0.23977777777777778
7,BAHAWALNAGER,0.5783484848484849,0.7658333333333333
8,BAHAWALPUR,0.2621875,0.2700625
9,BAJAUR AGENCY,0.18465151515151515,0.21916666666666665
10,BANNU,0.10484848484848484,0.17133333333333334
11,BARKHAN,0.09592424242424243,0.09516666666666668
12,MALAKAND,0.20427272727272727,0.18300000000000002
13,BATTAGRAM,0.21650000000000003,0.22150000000000003
14,BHAKKAR,0.5658333333333333,0.7501666666666668
15,BHIMBER,0.2862121212121212,0.2803333333333334
16,BUNER,0.2017037037037037,0.20451851851851852
17,CHAGHI,0.2117121212121212,0.2808333333333333
18,CHAKWAL,0.41551515151515156,0.4526666666666667
19,CHAMAN,0.5140416666666667,0.5034583333333333
20,CHARSADDA,0.35203030303030297,0.5103333333333333
21,CHINIOT,0.6369848484848485,0.7868333333333334
22,CHITRAL,,
23,DADU,0.3246363636363636,0.313
24,DARIAL,,
25,DERA BUGTI,0.22539393939393937,0.25133333333333335
26,DERA GHAZI KHAN,0.3521666666666667,0.4478333333333333
27,DERA ISMAIL KHAN,0.21166666666666667,0.22433333333333336
28,DIAMER,0.311,0.311
29,DUKKI,0.18640909090909094,0.16849999999999998
30,FAISALABAD,0.6260151515151514,0.7441666666666666
31,SHERANI,0.08698484848484848,0.10683333333333335
32,GHANCHE,,
33,GHIZER,,
34,GOTKI,0.5512575757575758,0.7558333333333332
35,GILGIT,,
36,GUJRANWALA,0.610030303030303,0.7343333333333332
37,GUJRAT,0.49460606060606066,0.6686666666666667
38,GUPIS YASIN,,
39,GWADAR,0.5017333333333334,0.4630666666666667
40,HAFIZABAD,0.5728787878787879,0.7256666666666667
41,HANGU,0.21877777777777777,0.2518888888888889
42,HARIPUR,0.37112121212121213,0.4743333333333333
43,HARNAI,0.1371,0.1621
44,HATTIAN,0.1958333333333333,0.21576666666666666
45,HAVELI,0.059,0.059
46,Hunza-Nagar,,
47,HYDERABAD,0.6230757575757576,0.7618333333333333
48,ISLAMABAD,0.33103333333333335,0.3573666666666666
49,JACOBABAD,0.5811666666666667,0.7148333333333333
50,JAFARABAD,0.4840303030303031,0.5143333333333334
51,JAMSHORO,0.34675757575757576,0.34833333333333333
52,KHUSHAB,0.5528030303030304,0.7288333333333333
53,JHAL MAGSI,0.3313333333333333,0.3766666666666667
54,JHANG,0.4626166666666666,0.5687833333333334
55,JEHLUM,0.4212727272727273,0.554
56,BOLAN,0.2966515151515151,0.3491666666666666
57,KALLAT,0.28960416666666666,0.3441458333333334
58,KARAK,0.21801515151515152,0.2861666666666667
59,KASHMORE,0.40186666666666665,0.5785333333333333
60,KASUR,0.6107424242424243,0.7441666666666666
